-2.0000	0.0907
-1.9000	0.0037
-1.8000	-0.0738
-1.7000	-0.1417
-1.6000	-0.1996
-1.5000	-0.2475
-1.4000	-0.2854
-1.3000	-0.3136
-1.2000	-0.3320
-1.1000	-0.3412
-1.0000	-0.3415
-0.9000	-0.3333
-0.8000	-0.3174
-0.7000	-0.2942
-0.6000	-0.2646
-0.5000	-0.2294
-0.4000	-0.1894
-0.3000	-0.1455
-0.2000	-0.0987
-0.1000	-0.0498
0.0000	0.0000
0.1000	0.0498
0.2000	0.0987
0.3000	0.1455
0.4000	0.1894
0.5000	0.2294
0.6000	0.2646
0.7000	0.2942
0.8000	0.3174
0.9000	0.3333
1.0000	0.3415
1.1000	0.3412
1.2000	0.3320
1.3000	0.3136
1.4000	0.2854
1.5000	0.2475
1.6000	0.1996
1.7000	0.1417
1.8000	0.0738
1.9000	-0.0037
2.0000	-0.0907
2.1000	-0.1868
2.2000	-0.2915
2.3000	-0.4043
2.4000	-0.5245
2.5000	-0.6515
2.6000	-0.7845
2.7000	-0.9226
2.8000	-1.0650
2.9000	-1.2108
3.0000	-1.3589
3.1000	-1.5084
3.2000	-1.6584
3.3000	-1.8077
3.4000	-1.9555
3.5000	-2.1008
3.6000	-2.2425
3.7000	-2.3798
3.8000	-2.5119
3.9000	-2.6378
